nixpkgs._0verkill                                                      0verkill-unstable-2011-01-13
nixpkgs.dwarf-fortress-packages.themes.afro-graphics                   afro-graphics-47.04
nixpkgs.aften                                                          aften-0.0.8
nixpkgs.afterburn                                                      afterburn-4.6.0
nixpkgs.afterstep                                                      afterstep-2.2.12
nixpkgs.afuse                                                          afuse-0.4.1
nixpkgs.agate                                                          agate-2.5.2
nixpkgs.agave                                                          agave-35
nixpkgs.agda-pkg                                                       agda-pkg-0.1.51
nixpkgs.agda                                                           agdaWithPackages-2.6.1.3
nixpkgs.postgresql11Packages.age                                       age-0.2.0
nixpkgs.age                                                            age-1.0.0-beta6
nixpkgs.agedu                                                          agedu-20200705.2a7d4a2
nixpkgs.agenda                                                         agenda-1.1.0
nixpkgs.agg                                                            agg-2.5
nixpkgs.agrep                                                          agrep-3.41.5
nixpkgs.aha                                                            aha-0.5.1
nixpkgs.ahcpd                                                          ahcpd-0.53
nixpkgs.ahoviewer                                                      ahoviewer-1.6.5
nixpkgs.aide                                                           aide-0.17
nixpkgs.aiger                                                          aiger-1.9.9
nixpkgs.aileron                                                        aileron-font-0.102
nixpkgs.aiodnsbrute                                                    aiodnsbrute-0.3.2
nixpkgs.air                                                            air-1.15.1
nixpkgs.aircrack-ng                                                    aircrack-ng-1.6
nixpkgs.aircrackng                                                     aircrack-ng-1.6
nixpkgs.airfield                                                       airfield-2015-01-04
nixpkgs.airsonic                                                       airsonic-10.6.2
nixpkgs.airspy                                                         airspy-1.0.9
nixpkgs.airstrike                                                      airstrike-pre-6a
nixpkgs.airtame                                                        airtame-3.3.0
nixpkgs.airwave                                                        airwave-1.3.3
nixpkgs.gnome3.aisleriot                                               aisleriot-3.22.13
nixpkgs.aj-snapshot                                                    aj-snapshot-0.9.9
nixpkgs.ajour                                                          Ajour-0.7.1
nixpkgs.akira-unstable                                                 akira-0.0.13
nixpkgs.akkadian                                                       akkadian-7.18
nixpkgs.libsForQt5.akonadi                                             akonadi-20.08.3
nixpkgs.libsForQt514.akonadi                                           akonadi-20.08.3
nixpkgs.akonadi                                                        akonadi-20.08.3
nixpkgs.libsForQt515.akonadi                                           akonadi-20.08.3
nixpkgs.libsForQt514.akonadi-calendar                                  akonadi-calendar-20.08.3
nixpkgs.libsForQt5.akonadi-calendar                                    akonadi-calendar-20.08.3
nixpkgs.libsForQt515.akonadi-calendar                                  akonadi-calendar-20.08.3
nixpkgs.libsForQt514.akonadi-contacts                                  akonadi-contacts-20.08.3
nixpkgs.libsForQt5.akonadi-contacts                                    akonadi-contacts-20.08.3
nixpkgs.libsForQt515.akonadi-contacts                                  akonadi-contacts-20.08.3
nixpkgs.libsForQt514.akonadi-import-wizard                             akonadi-import-wizard-20.08.3
nixpkgs.libsForQt515.akonadi-import-wizard                             akonadi-import-wizard-20.08.3
nixpkgs.libsForQt5.akonadi-import-wizard                               akonadi-import-wizard-20.08.3
nixpkgs.libsForQt5.akonadi-mime                                        akonadi-mime-20.08.3
nixpkgs.libsForQt515.akonadi-mime                                      akonadi-mime-20.08.3
nixpkgs.libsForQt514.akonadi-mime                                      akonadi-mime-20.08.3
nixpkgs.libsForQt5.akonadi-notes                                       akonadi-notes-20.08.3
nixpkgs.libsForQt514.akonadi-notes                                     akonadi-notes-20.08.3
nixpkgs.libsForQt515.akonadi-notes                                     akonadi-notes-20.08.3
nixpkgs.libsForQt515.akonadi-search                                    akonadi-search-20.08.3
nixpkgs.libsForQt514.akonadi-search                                    akonadi-search-20.08.3
nixpkgs.libsForQt5.akonadi-search                                      akonadi-search-20.08.3
nixpkgs.libsForQt515.akonadiconsole                                    akonadiconsole-20.08.3
nixpkgs.libsForQt514.akonadiconsole                                    akonadiconsole-20.08.3
nixpkgs.libsForQt5.akonadiconsole                                      akonadiconsole-20.08.3
nixpkgs.akregator                                                      akregator-20.08.3
nixpkgs.libsForQt515.akregator                                         akregator-20.08.3
nixpkgs.libsForQt514.akregator                                         akregator-20.08.3
nixpkgs.libsForQt5.akregator                                           akregator-20.08.3
nixpkgs.alacritty                                                      alacritty-0.7.2
nixpkgs.alarm-clock-applet                                             alarm-clock-applet-0.3.4
nixpkgs.albatross                                                      Albatross-1.7.4
nixpkgs.albert                                                         albert-0.17.2
nixpkgs.alchemy                                                        alchemy-008
nixpkgs.alda                                                           alda-1.4.3
nixpkgs.aldo                                                           aldo-0.7.8
nixpkgs.aldor                                                          aldor-1.2.0
nixpkgs.alegreya                                                       alegreya-2.008
nixpkgs.alegreya-sans                                                  alegreya-sans-2.008
nixpkgs.alembic                                                        alembic-1.7.16
nixpkgs.alephone                                                       alephone-1.3.1
nixpkgs.prometheus-alertmanager                                        alertmanager-0.21.0
nixpkgs.alertmanager-bot                                               alertmanager-bot-0.4.3
nixpkgs.alfred                                                         alfred-2021.0
nixpkgs.alibuild                                                       alibuild-1.5.5
nixpkgs.aliceml                                                        aliceml-1.4-7d44dc8e
nixpkgs.alienarena                                                     alienarena-7.65
nixpkgs.aliza                                                          aliza-1.98.43
nixpkgs.libsForQt515.alkimia                                           alkimia-8.0.4
nixpkgs.libsForQt514.alkimia                                           alkimia-8.0.4
nixpkgs.libsForQt5.alkimia                                             alkimia-8.0.4
nixpkgs.allegro                                                        allegro-4.4.3.1
nixpkgs.allegro5                                                       allegro-5.2.6.0
nixpkgs.alliance                                                       alliance-5.1.1
nixpkgs.alloy4                                                         alloy4-4.2_2015-02-22
nixpkgs.alloy                                                          alloy5-5.1.0
nixpkgs.alloy5                                                         alloy5-5.1.0
nixpkgs.almanah                                                        almanah-0.12.2
nixpkgs.almonds                                                        almonds-1.25b
nixpkgs.alock                                                          alock-20170720
nixpkgs.alpine                                                         alpine-2.24
nixpkgs.alpine-make-vm-image                                           alpine-make-vm-image-0.7.0
nixpkgs.alsa-firmware                                                  alsa-firmware-1.2.1
nixpkgs.alsaLib                                                        alsa-lib-1.2.4
nixpkgs.alsaOss                                                        alsa-oss-1.1.8
nixpkgs.alsaPlugins                                                    alsa-plugins-1.2.2
nixpkgs.alsaTools                                                      alsa-tools-1.2.2
nixpkgs.alsa-topology-conf                                             alsa-topology-conf-1.2.4
nixpkgs.alsa-ucm-conf                                                  alsa-ucm-conf-1.2.4
nixpkgs.alsaUtils                                                      alsa-utils-1.2.4
nixpkgs.alsaequal                                                      alsaequal
nixpkgs.altermime                                                      altermime-0.3.11
nixpkgs.alttab                                                         alttab-1.5.0
nixpkgs.alure                                                          alure-1.2
nixpkgs.alure2                                                         alure2-unstable-2020-02-06
nixpkgs.amarok                                                         amarok-unstable-2020-06-12
nixpkgs.amass                                                          amass-3.11.2
nixpkgs.amazon-ec2-utils                                               amazon-ec2-utils-1.3
nixpkgs.amazon-ecr-credential-helper                                   amazon-ecr-credential-helper-0.5.0
nixpkgs.ecs-agent                                                      amazon-ecs-agent-1.18.0
nixpkgs.amazon-ecs-cli                                                 amazon-ecs-cli-1.21.0
nixpkgs.ssm-agent                                                      amazon-ssm-agent-2.3.1319.0
nixpkgs.AMB-plugins                                                    AMB-plugins-0.8.1
nixpkgs.amber                                                          amber-0.5.8
nixpkgs.amber-theme                                                    amber-theme-3.36-2
nixpkgs.google-amber                                                   amber-unstable-2020-09-23
nixpkgs.amd-blis                                                       amd-blis-2.2
nixpkgs.amd-libflame                                                   amd-libflame-2.2
nixpkgs.microcodeAmd                                                   amd-ucode-2021-02-08
nixpkgs.amdfwtool                                                      amdfwtool-4.13
nixpkgs.amdvlk                                                         amdvlk-2021.Q1.3
nixpkgs.ameba                                                          ameba-0.14.0
nixpkgs.amfora                                                         amfora-1.8.0
nixpkgs.aminal                                                         aminal-0.9.0
nixpkgs.amiri                                                          Amiri-0.113
nixpkgs.aml                                                            aml-0.2.0
nixpkgs.ammonite                                                       ammonite-2.3.8
nixpkgs.ammonite-repl                                                  ammonite-2.3.8
nixpkgs.ammonite_2_12                                                  ammonite-2.3.8
nixpkgs.amoeba                                                         amoeba-1.1-29.1
nixpkgs.amoeba-data                                                    amoeba-data-1.1
nixpkgs.among-sus                                                      among-sus-unstable-2020-10-29
nixpkgs.amp                                                            amp-0.6.2
nixpkgs.amrnb                                                          amrnb-11.0.0.0
nixpkgs.amrwb                                                          amrwb-11.0.0.0
nixpkgs.ams                                                            ams
nixpkgs.ams-lv2                                                        ams-lv2-1.2.2
nixpkgs.amtk                                                           amtk-5.2.0
nixpkgs.amtterm                                                        amtterm-1.6-1
nixpkgs.amule                                                          amule-unstable-20201006
nixpkgs.amuleDaemon                                                    amule-unstable-daemon-20201006
nixpkgs.amuleGui                                                       amule-unstable-gui-20201006
nixpkgs.analog                                                         analog-6.0.16
nixpkgs.anarchism                                                      anarchism-15.3-1
nixpkgs.anbox                                                          anbox-unstable-2020-11-29
nixpkgs.andagii                                                        andagii-1.0.2
nixpkgs.andika                                                         andika-5.000
nixpkgs.android-file-transfer                                          android-file-transfer-4.2
nixpkgs.androidStudioPackages.beta                                     android-studio-beta-4.2.0.20
nixpkgs.androidStudioPackages.canary                                   android-studio-canary-2020.3.1.5
nixpkgs.androidStudioPackages.dev                                      android-studio-dev-2020.3.1.5
nixpkgs.android-studio                                                 android-studio-stable-4.1.2.0
nixpkgs.android-udev-rules                                             android-udev-rules-20201003
nixpkgs.andyetitmoves                                                  andyetitmoves-1.2.2
nixpkgs.angband                                                        angband-4.2.1
nixpkgs.angelscript_2_22                                               angelscript-2.22.2
nixpkgs.angelscript                                                    angelscript-2.35.0
nixpkgs.angle-grinder                                                  angle-grinder-0.16
nixpkgs.animbar                                                        animbar-1.2
nixpkgs.gnome3.anjuta                                                  anjuta-3.34.0
nixpkgs.ankacoder                                                      ankacoder-1.100
nixpkgs.ankacoder-condensed                                            ankacoder-condensed-1.100
nixpkgs.anki                                                           anki-2.1.15
nixpkgs.anki-bin                                                       anki-bin-2.1.38
nixpkgs.ankisyncd                                                      ankisyncd-2.2.0
nixpkgs.anonymousPro                                                   anonymousPro-1.002
nixpkgs.ansi2html                                                      ansi2html-1.6.0
nixpkgs.ansible                                                        ansible-2.10.0
nixpkgs.ansible_2_10                                                   ansible-2.10.0
nixpkgs.ansible_2_8                                                    ansible-2.8.14
nixpkgs.ansible_2_9                                                    ansible-2.9.12
nixpkgs.ansible-lint                                                   ansible-lint-4.3.7
nixpkgs.ansifilter                                                     ansifilter-2.18
nixpkgs.ant                                                            ant-1.10.9
nixpkgs.apacheAnt_1_9                                                  ant-1.9.15
nixpkgs.ant-bloody-theme                                               ant-bloody-theme-1.3.0
nixpkgs.ant-nebula-theme                                               ant-nebula-theme-1.3.0
nixpkgs.ant-theme                                                      ant-theme-1.3.0
nixpkgs.antfs-cli                                                      antfs-cli-unstable-2017-02-11
nixpkgs.anthy                                                          anthy-9100h
nixpkgs.antibody                                                       antibody-6.1.1
nixpkgs.antigen                                                        antigen-2.2.3
nixpkgs.antimicroX                                                     antimicroX-3.0.1
nixpkgs.antimony                                                       antimony-2020-03-28
nixpkgs.antiprism                                                      antiprism-0.26
nixpkgs.antiword                                                       antiword-0.37
nixpkgs.antlr                                                          antlr-2.7.7
nixpkgs.antlr3_4                                                       antlr-3.4
nixpkgs.antlr3                                                         antlr-3.5.2
nixpkgs.antlr4                                                         antlr-4.8
nixpkgs.ants                                                           ANTs-2.2.0
nixpkgs.anttweakbar                                                    AntTweakBar-1.16
nixpkgs.any-nix-shell                                                  any-nix-shell-1.2.1
nixpkgs.anydesk                                                        anydesk-6.1.0
nixpkgs.alsaPluginWrapper                                              ap64
nixpkgs.activemq                                                       apache-activemq-5.16.0
nixpkgs.apache-airflow                                                 apache-airflow-1.10.5
nixpkgs.apache-directory-studio                                        apache-directory-studio-2.0.0-M15
nixpkgs.felix                                                          apache-felix-6.0.3
nixpkgs.felix_remoteshell                                              apache-felix-remoteshell-bundle-1.1.2
nixpkgs.apache-flex-sdk                                                apache-flex-sdk-4.16.1
nixpkgs.adobe_flex_sdk                                                 apache-flex-sdk-4.16.1
nixpkgs.apacheHttpd                                                    apache-httpd-2.4.46
nixpkgs.apache-jena                                                    apache-jena-3.7.0
nixpkgs.fuseki                                                         apache-jena-fuseki-3.13.1
nixpkgs.joseki                                                         apache-jena-fuseki-3.13.1
nixpkgs.apache-jena-fuseki                                             apache-jena-fuseki-3.13.1
nixpkgs.apacheKafka_2_4                                                apache-kafka-2.12-2.4.1
nixpkgs.apacheKafka                                                    apache-kafka-2.13-2.5.0
nixpkgs.maven                                                          apache-maven-3.6.3
nixpkgs.storm                                                          apache-storm-2.2.0
nixpkgs.tomcat7                                                        apache-tomcat-7.0.100
nixpkgs.tomcat8                                                        apache-tomcat-8.5.51
nixpkgs.tomcat85                                                       apache-tomcat-8.5.51
nixpkgs.tomcat9                                                        apache-tomcat-9.0.31
nixpkgs.apcupsd                                                        apcupsd-3.14.14
nixpkgs.prometheus-apcupsd-exporter                                    apcupsd-exporter-0.2.0
nixpkgs.ape                                                            ape-2019-08-10
nixpkgs.apeClex                                                        ape-clex-2019-08-10
nixpkgs.apfel                                                          apfel-3.0.4
nixpkgs.apfelgrid                                                      apfelgrid-1.0.1
nixpkgs.apfs-fuse                                                      apfs-fuse-unstable-2019-07-23
nixpkgs.apg                                                            apg-2.3.0b
nixpkgs.apitrace                                                       apitrace-7.1-572-g26966134
nixpkgs.apk-tools                                                      apk-tools-2.12.2
nixpkgs.apktool                                                        apktool-2.5.0
nixpkgs.apmplanner2                                                    apmplanner2-2.0.28
nixpkgs.apngasm_2                                                      apngasm-2.91
nixpkgs.apngasm                                                        apngasm-3.1.9
nixpkgs.apostrophe                                                     apostrophe-2.2.0.3
nixpkgs.uberwriter                                                     apostrophe-2.2.0.3
nixpkgs.apparix                                                        apparix-11-062
nixpkgs.apparmor-bin-utils                                             apparmor-bin-utils-2.13.6
nixpkgs.apparmor-kernel-patches                                        apparmor-kernel-patches-2.13.6
nixpkgs.apparmor-pam                                                   apparmor-pam-2.13.6
nixpkgs.apparmor-parser                                                apparmor-parser-2.13.6
nixpkgs.apparmor-profiles                                              apparmor-profiles-2.13.6
nixpkgs.apparmor-utils                                                 apparmor-utils-2.13.6
nixpkgs.pantheon.appcenter                                             appcenter-3.5.1
nixpkgs.appcsxcad                                                      appcsxcad-unstable-2020-01-04
nixpkgs.appdaemon                                                      appdaemon-4.0.5
nixpkgs.appeditor                                                      appeditor-1.1.0
nixpkgs.appgate-sdp                                                    appgate-sdp-5.3.3
nixpkgs.appimage-run                                                   appimage-run
nixpkgs.appimage-run-tests                                             appimage-run-tests
nixpkgs.appimagekit                                                    appimagekit-20180727
nixpkgs.appindicator-sharp                                             appindicator-sharp-5a79cde93da6d68a4b1373f1ce5796c3c5fe1b37
nixpkgs.apple-music-electron                                           Apple.Music-1.5.2
nixpkgs.appleseed                                                      appleseed-2.0.5-beta
nixpkgs.applgrid                                                       applgrid-1.4.70
nixpkgs.xorg.appres                                                    appres-1.0.5
nixpkgs.apprise                                                        apprise-0.9.1
nixpkgs.appstream                                                      appstream-0.14.0
nixpkgs.appstream-glib                                                 appstream-glib-0.7.18
nixpkgs.libsForQt5.appstream-qt                                        appstream-qt-0.14.0
nixpkgs.libsForQt515.appstream-qt                                      appstream-qt-0.14.0
nixpkgs.libsForQt514.appstream-qt                                      appstream-qt-0.14.0
nixpkgs.apr                                                            apr-1.7.0
nixpkgs.aprutil                                                        apr-util-1.6.1
nixpkgs.apt-cacher-ng                                                  apt-cacher-ng-3.6
nixpkgs.apt-dater                                                      apt-dater-1.0.4
nixpkgs.apt-offline                                                    apt-offline-1.8.1
nixpkgs.aptly                                                          aptly-1.4.0
nixpkgs.apulse                                                         apulse-0.1.13
nixpkgs.apvlv                                                          apvlv-0.1.5
nixpkgs.aqbanking                                                      aqbanking-6.2.5
nixpkgs.aqemu                                                          aqemu-0.9.2
nixpkgs.arachne-pnr                                                    arachne-pnr-2019.07.29
nixpkgs.aragorn                                                        aragorn-1.2.38
nixpkgs.arandr                                                         arandr-0.1.10
nixpkgs.arangodb_3_3                                                   arangodb-3.3.24
nixpkgs.arangodb                                                       arangodb-3.4.8
nixpkgs.arangodb_3_5                                                   arangodb-3.5.1
nixpkgs.aravis                                                         aravis-0.6.4
nixpkgs.arb                                                            arb-2.17.0
nixpkgs.arc-icon-theme                                                 arc-icon-theme-2016-11-22
nixpkgs.arc-kde-theme                                                  arc-kde-theme-20180614
nixpkgs.arc-theme                                                      arc-theme-20210127
nixpkgs.arcanist                                                       arcanist-20200711
nixpkgs.archi                                                          Archi-4.7.1
nixpkgs.archimedes                                                     archimedes-2.0.1
nixpkgs.ArchiSteamFarm                                                 ArchiSteamFarm-4.3.1.0
nixpkgs.archivemount                                                   archivemount-0.9.1
nixpkgs.archiveopteryx                                                 archiveopteryx-3.2.0
nixpkgs.archiver                                                       archiver-3.5.0
nixpkgs.archivy                                                        archivy-1.0.2
nixpkgs.arc_unpacker                                                   arc_unpacker-unstable-2019-01-28
nixpkgs.ardour                                                         ardour-6.5
nixpkgs.ardour_5                                                       ardour_5-5.12
nixpkgs.arduino                                                        arduino-1.8.13
nixpkgs.arduino-ci                                                     arduino-ci-0.2.0
nixpkgs.arduino-cli                                                    arduino-cli-0.12.1
nixpkgs.arduino-core                                                   arduino-core-1.8.13
nixpkgs.arduino_core                                                   arduino-core-1.8.13
nixpkgs.arduino-mk                                                     arduino-mk-1.6.0
nixpkgs.areca                                                          areca-7.5
nixpkgs.arelle                                                         arelle-18.3
nixpkgs.arena                                                          arena-3.10-beta
nixpkgs.argbash                                                        argbash-2.10.0
nixpkgs.argo                                                           argo-2.12.9
nixpkgs.argocd                                                         argocd-1.8.5
nixpkgs.argp-standalone                                                argp-standalone-1.3
nixpkgs.argtable                                                       argtable-3.1.5
nixpkgs.arguments                                                      arguments-2015-11-30
nixpkgs.argus                                                          argus-3.0.8.2
nixpkgs.argus-clients                                                  argus-clients-3.0.8.2
nixpkgs.argyllcms                                                      argyllcms-2.1.2
nixpkgs.aria                                                           aria2-1.35.0
nixpkgs.aribb25                                                        aribb25-0.2.7
nixpkgs.ario                                                           ario-1.6
nixpkgs.arion                                                          arion-0.1.2.0
nixpkgs.libsForQt5.ark                                                 ark-20.08.3
nixpkgs.libsForQt514.ark                                               ark-20.08.3
nixpkgs.ark                                                            ark-20.08.3
nixpkgs.libsForQt515.ark                                               ark-20.08.3
nixpkgs.arkpandora_ttf                                                 arkpandora-2.04
nixpkgs.armTrustedFirmwareTools                                        arm-trusted-firmware-2.4
nixpkgs.armTrustedFirmwareS905                                         arm-trusted-firmware-gxbb-2.4
nixpkgs.armTrustedFirmwareQemu                                         arm-trusted-firmware-qemu-2.4
nixpkgs.armTrustedFirmwareRK3328                                       arm-trusted-firmware-rk3328-2.4
nixpkgs.armTrustedFirmwareRK3399                                       arm-trusted-firmware-rk3399-2.4
nixpkgs.armTrustedFirmwareAllwinner                                    arm-trusted-firmware-sun50i_a64-2.4
nixpkgs.armadillo                                                      armadillo-10.2.1
nixpkgs.armagetronad                                                   armagetronad-0.2.9.1.0
nixpkgs.armagetronad-dedicated                                         armagetronad-dedicated-0.2.9.1.0
nixpkgs.unixtools.arp                                                  arp-1003.1-2008
nixpkgs.arp-scan                                                       arp-scan-1.9.7
nixpkgs.arpa2cm                                                        arpa2cm-0.5
